time;logger;level;message;exception
2011-12-16 11:24:39.3120;Raven.Database.Impl.DocumentCacher;Info;"MemoryCache Settings:
  PhysicalMemoryLimit = 98
  CacheMemoryLimit    = 966787072
  PollingInterval     = 00:02:00";
2011-12-16 11:24:39.3588;Raven.Storage.Esent.TransactionalStorage;Info;"Esent Settings:
  MaxVerPages      = 32768
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2011-12-16 11:24:44.1948;Raven.Database.DocumentDatabase;Debug;Delete a document with key: Raven/Backup/Status and etag ;
2011-12-16 11:24:44.2104;Raven.Storage.Esent.StorageActions.DocumentStorageActions;Debug;Document with key 'Raven/Backup/Status' was not found, and considered deleted;
2011-12-16 11:24:44.2104;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 1 - step 1/2;
2011-12-16 11:24:44.2104;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 2 - step 2/2;
2011-12-16 11:24:44.4132;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2011-12-16 11:24:44.6472;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2011-12-16 11:24:44.6472;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2011-12-16 11:24:44.6472;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 2, currentWorkCounter: 2, will wait for additional work;
2011-12-16 11:27:24.8751;Raven.Database.Server.HttpServer;Debug;Request #   1: GET     -    19 ms - <default>  - 400 - /r;
2011-12-16 11:27:31.7859;Raven.Database.Storage.IndexDefinitionStorage;Info;"New index Raven%2fDocumentsByEntityName:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}

Compiled to:
using Raven.Abstractions;
using Raven.Database.Linq;
using System.Linq;
using System.Collections.Generic;
using System.Collections;
using System;
using Raven.Database.Linq.PrivateExtensions;
using Lucene.Net.Documents;
using Raven.Database.Indexing;
public class Index_Raven_2fDocumentsByEntityName : AbstractViewGenerator
{
	public Index_Raven_2fDocumentsByEntityName()
	{
		this.ViewText = @""from doc in docs 
let Tag = doc[""""@metadata""""][""""Raven-Entity-Name""""]
where  Tag != null 
select new { Tag, LastModified = (DateTime)doc[""""@metadata""""][""""Last-Modified""""] };
"";
		this.AddMapDefinition(docs => from doc in docs
			let Tag = doc[""@metadata""][""Raven-Entity-Name""]
			where Tag != null
			select new { Tag, LastModified = (DateTime)doc[""@metadata""][""Last-Modified""], __document_id = doc.__document_id });
		this.AddField(""LastModified"");
		this.AddField(""__document_id"");
		this.AddField(""Tag"");
		this.AddQueryParameterForMap(""__document_id"");
		this.AddQueryParameterForReduce(""__document_id"");
	}
}
";
2011-12-16 11:27:32.6907;Raven.Database.Indexing.IndexStorage;Info;Creating index Raven/DocumentsByEntityName with encoded name Raven/DocumentsByEntityName;
2011-12-16 11:27:33.0651;Raven.Database.Indexing.Index.Indexing;Debug;Creating index for Raven/DocumentsByEntityName;
2011-12-16 11:27:33.0963;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 3 - step 1/2;
2011-12-16 11:27:33.0963;Raven.Database.Indexing.WorkContext;Debug;Incremented work counter to 4 - step 2/2;
2011-12-16 11:27:33.0963;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2011-12-16 11:27:33.0963;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2011-12-16 11:27:33.1275;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2011-12-16 11:27:33.1431;Raven.Database.Indexing.WorkContext;Debug;Not work was found, workerWorkCounter: 4, currentWorkCounter: 4, will wait for additional work;
2011-12-16 11:27:36.9478;Raven.Database.Server.HttpServer;Debug;Request #   2: GET     -    10 ms - <default>  - 200 - /docs?pageSize=0&noCache=-524004660;
2011-12-16 11:27:37.1470;Raven.Database.Server.HttpServer;Debug;Request #   3: GET     -     0 ms - <default>  - 200 - /docs?pageSize=0&noCache=-140674909;
